Analyzing: Layer 12, 8x expansion (K=32)
Directory: /biodata/nyanovsky/datasets/pbmc3k/layer_12/sae_k_32_5120/interpretations_filter_zero_expressed

Feature    | Top Cell Type (r)         | Top Significant GO Terms
------------------------------------------------------------------------------------------------------------------------
4847       | CD4 T cells (0.50)        | ubiquitin protein ligase binding (GO:0031625) (GO_Molecular_Function_2021) || ubiquitin-like protein ligase binding (GO:0044389) (GO_Molecular_Function_2021) || DNA insertion or deletion binding (GO:0032135) (GO_Molecular_Function_2021)
299        | CD8 T cells (0.28)        | snRNA binding (GO:0017069) (GO_Molecular_Function_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || negative regulation of double-strand break repair via nonhomologous end joining (GO:2001033) (GO_Biological_Process_2021)
234        | B cells (0.07)            | ErbB-3 class receptor binding (GO:0043125) (GO_Molecular_Function_2021) || cation:cation antiporter activity (GO:0015491) (GO_Molecular_Function_2021) || protein homodimerization activity (GO:0042803) (GO_Molecular_Function_2021)
4846       | CD4 T cells (0.37)        | mitochondrial inner membrane (GO:0005743) (GO_Cellular_Component_2021) || organelle inner membrane (GO:0019866) (GO_Cellular_Component_2021) || mitochondrial membrane (GO:0031966) (GO_Cellular_Component_2021)
4401       | CD4 T cells (-0.48)       | G protein-coupled receptor dimeric complex (GO:0038037) (GO_Cellular_Component_2021) || U2-type catalytic step 1 spliceosome (GO:0071006) (GO_Cellular_Component_2021) || COPII vesicle coat (GO:0030127) (GO_Cellular_Component_2021)
3349       | NK cells (-0.34)          | focal adhesion (GO:0005925) (GO_Cellular_Component_2021) || cell-substrate junction (GO:0030055) (GO_Cellular_Component_2021) || ribonucleoprotein complex biogenesis (GO:0022613) (GO_Biological_Process_2021)
2602       | CD8 T cells (-0.32)       | mitochondrial matrix (GO:0005759) (GO_Cellular_Component_2021)
891        | B cells (0.20)            | secretory granule lumen (GO:0034774) (GO_Cellular_Component_2021) || RAGE receptor binding (GO:0050786) (GO_Molecular_Function_2021) || neutrophil chemotaxis (GO:0030593) (GO_Biological_Process_2021)
3551       | CD4 T cells (0.64)        | MHC class II protein complex (GO:0042613) (GO_Cellular_Component_2021) || MHC protein complex (GO:0042611) (GO_Cellular_Component_2021) || MHC class II protein complex binding (GO:0023026) (GO_Molecular_Function_2021)
