Analyzing: Layer 12, 8x expansion (K=32)
Directory: /biodata/nyanovsky/datasets/pbmc3k/layer_12/sae_k_32_5120_online/interpretations_filter_zero_expressed

Feature    | Top Cell Type (r)         | Top Significant GO Terms
------------------------------------------------------------------------------------------------------------------------
4847       | CD14+ Monocytes (-0.66)   | neutrophil activation involved in immune response (GO:0002283) (GO_Biological_Process_2021) || neutrophil degranulation (GO:0043312) (GO_Biological_Process_2021) || neutrophil mediated immunity (GO:0002446) (GO_Biological_Process_2021)
763        | B cells (-0.52)           | basolateral plasma membrane (GO:0016323) (GO_Cellular_Component_2021) || magnesium ion binding (GO:0000287) (GO_Molecular_Function_2021) || acid-thiol ligase activity (GO:0016878) (GO_Molecular_Function_2021)
4401       | CD4 T cells (0.38)        | alkali metal ion binding (GO:0031420) (GO_Molecular_Function_2021)
3349       | CD14+ Monocytes (-0.57)   | positive regulation of immune system process (GO:0002684) (GO_Biological_Process_2021) || interleukin-12 receptor binding (GO:0005143) (GO_Molecular_Function_2021) || single-stranded DNA exodeoxyribonuclease activity (GO:0008297) (GO_Molecular_Function_2021)
2602       | FCGR3A+ Monocytes (0.34)  | lumenal side of endoplasmic reticulum membrane (GO:0098553) (GO_Cellular_Component_2021) || integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556) (GO_Cellular_Component_2021) || cellular response to interferon-gamma (GO:0071346) (GO_Biological_Process_2021)
891        | CD4 T cells (0.62)        | primary lysosome (GO:0005766) (GO_Cellular_Component_2021)
4243       | CD4 T cells (0.47)        | DNA integrity checkpoint signaling (GO:0031570) (GO_Biological_Process_2021)
3605       | CD14+ Monocytes (-0.36)   | calcium-dependent protein kinase activity (GO:0010857) (GO_Molecular_Function_2021) || transaminase activity (GO:0008483) (GO_Molecular_Function_2021) || syntaxin binding (GO:0019905) (GO_Molecular_Function_2021)
2749       | B cells (-0.33)           | mitochondrial gene expression (GO:0140053) (GO_Biological_Process_2021) || mitochondrial translation (GO:0032543) (GO_Biological_Process_2021) || translation (GO:0006412) (GO_Biological_Process_2021)
2383       | CD4 T cells (0.47)        | Fc-epsilon receptor signaling pathway (GO:0038095) (GO_Biological_Process_2021) || Fc receptor signaling pathway (GO:0038093) (GO_Biological_Process_2021) || azurophil granule (GO:0042582) (GO_Cellular_Component_2021)
132        | CD4 T cells (0.44)        | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || regulation of transcription, DNA-templated (GO:0006355) (GO_Biological_Process_2021)
2260       | B cells (0.18)            | vesicle coat (GO:0030120) (GO_Cellular_Component_2021) || Golgi membrane (GO:0000139) (GO_Cellular_Component_2021) || COPI vesicle coat (GO:0030126) (GO_Cellular_Component_2021)
2040       | CD4 T cells (0.80)        | microvillus membrane (GO:0031528) (GO_Cellular_Component_2021)
2465       | CD14+ Monocytes (0.60)    | tau-protein kinase activity (GO:0050321) (GO_Molecular_Function_2021)
2836       | CD14+ Monocytes (0.47)    | sterol import (GO:0035376) (GO_Biological_Process_2021) || cholesterol import (GO:0070508) (GO_Biological_Process_2021) || hexose catabolic process (GO:0019320) (GO_Biological_Process_2021)
4042       | CD4 T cells (0.38)        | antiporter activity (GO:0015297) (GO_Molecular_Function_2021) || pyrimidine nucleotide-sugar transmembrane transporter activity (GO:0015165) (GO_Molecular_Function_2021)
1502       | CD4 T cells (0.63)        | mRNA 3'-splice site recognition (GO:0000389) (GO_Biological_Process_2021) || mRNA splicing, via spliceosome (GO:0000398) (GO_Biological_Process_2021) || reticulophagy (GO:0061709) (GO_Biological_Process_2021)
750        | CD4 T cells (0.46)        | lysosome (GO:0005764) (GO_Cellular_Component_2021) || lytic vacuole (GO:0000323) (GO_Cellular_Component_2021) || lytic vacuole membrane (GO:0098852) (GO_Cellular_Component_2021)
1381       | NK cells (-0.19)          | trans-Golgi network (GO:0005802) (GO_Cellular_Component_2021)
3017       | CD14+ Monocytes (-0.43)   | regulation of cellular response to stress (GO:0080135) (GO_Biological_Process_2021) || tRNA export from nucleus (GO:0006409) (GO_Biological_Process_2021) || tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431) (GO_Biological_Process_2021)
4904       | B cells (-0.15)           | RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977) (GO_Molecular_Function_2021) || RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978) (GO_Molecular_Function_2021) || cis-regulatory region sequence-specific DNA binding (GO:0000987) (GO_Molecular_Function_2021)
957        | CD14+ Monocytes (-0.51)   | regulation of PERK-mediated unfolded protein response (GO:1903897) (GO_Biological_Process_2021) || positive regulation of transcription by RNA polymerase II (GO:0045944) (GO_Biological_Process_2021) || positive regulation of transcription, DNA-templated (GO:0045893) (GO_Biological_Process_2021)
29         | CD14+ Monocytes (-0.42)   | mitochondrial matrix (GO:0005759) (GO_Cellular_Component_2021) || intracellular organelle lumen (GO:0070013) (GO_Cellular_Component_2021)
2774       | NK cells (-0.23)          | alpha-(1->3)-fucosyltransferase activity (GO:0046920) (GO_Molecular_Function_2021) || fucosyltransferase activity (GO:0008417) (GO_Molecular_Function_2021) || small GTPase binding (GO:0031267) (GO_Molecular_Function_2021)
2466       | CD4 T cells (0.37)        | proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161) (GO_Biological_Process_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || cullin-RING ubiquitin ligase complex (GO:0031461) (GO_Cellular_Component_2021)
2071       | CD4 T cells (0.72)        | endoplasmic reticulum membrane (GO:0005789) (GO_Cellular_Component_2021) || intrinsic component of mitochondrial inner membrane (GO:0031304) (GO_Cellular_Component_2021)
3735       | CD14+ Monocytes (0.24)    | nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021)
4927       | B cells (0.43)            | regulation of transcription, DNA-templated (GO:0006355) (GO_Biological_Process_2021)
4827       | CD4 T cells (0.67)        | ferrous iron binding (GO:0008198) (GO_Molecular_Function_2021) || ferric iron binding (GO:0008199) (GO_Molecular_Function_2021) || iron ion binding (GO:0005506) (GO_Molecular_Function_2021)
4957       | B cells (-0.46)           | intracellular organelle lumen (GO:0070013) (GO_Cellular_Component_2021) || endoplasmic reticulum lumen (GO:0005788) (GO_Cellular_Component_2021) || neutrophil mediated immunity (GO:0002446) (GO_Biological_Process_2021)
