chunk_id,B cell,CD14-positive monocyte,"CD14-positive, CD16-positive monocyte","CD16-negative, CD56-bright natural killer cell, human","CD16-positive, CD56-dim natural killer cell, human",CD4-positive helper T cell,"CD4-positive, CD25-positive, alpha-beta regulatory T cell","CD4-positive, alpha-beta T cell","CD4-positive, alpha-beta cytotoxic T cell","CD4-positive, alpha-beta memory T cell","CD4-positive, alpha-beta thymocyte","CD8-positive, alpha-beta T cell","CD8-positive, alpha-beta memory T cell","CD8-positive, alpha-beta memory T cell, CD45RO-positive","CD8-positive, alpha-beta thymocyte",Schwann cell,T cell,T follicular helper cell,adipocyte,alpha-beta T cell,alveolar macrophage,basophil,basophil mast progenitor cell,basophilic erythroblast,"central memory CD4-positive, alpha-beta T cell","central memory CD8-positive, alpha-beta T cell",chondrocyte,class switched memory B cell,classical monocyte,common dendritic progenitor,common lymphoid progenitor,common myeloid progenitor,conventional dendritic cell,cord blood hematopoietic stem cell,dendritic cell,early lymphoid progenitor,early promyelocyte,"effector memory CD4-positive, alpha-beta T cell","effector memory CD4-positive, alpha-beta T cell, terminally differentiated","effector memory CD8-positive, alpha-beta T cell","effector memory CD8-positive, alpha-beta T cell, terminally differentiated",endosteal cell,endothelial cell,endothelial cell of sinusoid,endothelial tip cell,eosinophil,epithelial cell,erythroblast,erythrocyte,erythroid lineage cell,erythroid progenitor cell,fibroblast,fraction A pre-pro B cell,gamma-delta T cell,germinal center B cell,granulocyte,granulocyte monocyte progenitor cell,group 1 innate lymphoid cell,group 3 innate lymphoid cell,hematopoietic cell,hematopoietic multipotent progenitor cell,hematopoietic oligopotent progenitor cell,hematopoietic precursor cell,hematopoietic stem cell,immature B cell,immature alpha-beta T cell,immature innate lymphoid cell,immature natural killer cell,intermediate monocyte,large pre-B-II cell,late pro-B cell,late promyelocyte,lymphocyte,lymphoid lineage restricted progenitor cell,macrophage,macrophage dendritic cell progenitor,mast cell,mature B cell,mature NK T cell,mature alpha-beta T cell,megakaryocyte,megakaryocyte progenitor cell,megakaryocyte-erythroid progenitor cell,memory B cell,mesenchymal cell,mesenchymal stem cell,mesodermal cell,monocyte,mucosal invariant T cell,muscle cell,muscle precursor cell,myelocyte,myeloid dendritic cell,myeloid lineage restricted progenitor cell,myofibroblast cell,naive B cell,"naive thymus-derived CD4-positive, alpha-beta T cell","naive thymus-derived CD8-positive, alpha-beta T cell",natural killer cell,neutrophil,neutrophil progenitor cell,non-classical monocyte,orthochromatic erythroblast,osteoblast,osteoclast,plasma cell,plasmablast,plasmacytoid dendritic cell,"plasmacytoid dendritic cell, human",platelet,polychromatophilic erythroblast,pre-conventional dendritic cell,pre-natural killer cell,precursor B cell,precursor cell,preosteoblast,primitive red blood cell,primordial germ cell,pro-B cell,proerythroblast,professional antigen presenting cell,progenitor cell,promonocyte,promyelocyte,regulatory T cell,small pre-B-II cell,stromal cell,stromal cell of bone marrow,thymocyte,unknown,unswitched memory B cell
0,94,1856,271,395,2610,12,160,274,34,478,125,186,406,154,39,0,67,13,17,13,0,17,139,301,1041,347,3,96,2827,98,199,744,460,1,194,99,354,792,261,1518,993,5,210,37,25,13,22,0,1812,210,1525,2,315,267,2,52,1250,1,3,874,1094,368,98,784,260,6,183,2,20,208,308,114,182,250,362,4,49,366,13,6,182,175,374,356,634,2,11,151,88,6,17,484,6,40,2,1073,2052,722,595,970,72,634,190,20,78,3243,71,134,535,2,264,207,2,985,9,48,501,1,609,4,53,964,904,143,33,111,18,13,7,2986,229
1,108,1872,298,373,2579,6,140,362,30,502,138,239,379,170,38,1,66,12,23,17,1,11,133,265,1007,365,2,105,2808,88,201,683,465,1,198,98,320,811,250,1384,1033,2,222,29,16,24,24,0,1768,230,1528,8,314,295,1,31,1254,4,6,877,1143,357,91,803,294,1,169,1,6,202,339,106,161,235,355,0,60,400,7,4,193,184,347,386,660,1,15,142,69,9,15,490,7,22,2,1036,2036,759,660,938,84,557,209,20,80,3282,73,136,512,1,286,207,6,969,8,39,531,0,636,7,46,919,930,126,18,89,18,9,3,3050,229
2,130,1909,285,341,2625,11,149,329,38,513,104,215,378,153,45,0,62,9,17,11,0,7,146,281,1012,319,5,95,2833,78,187,707,432,1,205,103,360,792,261,1503,999,1,210,40,20,18,19,2,1684,205,1609,8,284,280,2,43,1271,2,5,882,1103,380,95,801,285,2,190,3,18,183,337,101,188,204,334,1,60,381,6,2,210,147,361,392,633,1,6,133,93,10,11,467,7,29,7,1045,1938,742,619,982,61,629,186,20,83,3250,70,123,596,1,250,219,3,1016,9,47,544,0,603,3,41,1000,915,133,32,101,16,11,8,3052,236
3,114,1931,261,357,2513,11,145,335,38,453,127,209,373,162,44,0,61,19,28,17,1,11,118,284,1076,358,4,102,2851,81,177,775,451,5,205,73,395,709,255,1483,1082,6,186,32,18,29,15,2,1792,238,1628,2,330,284,1,47,1281,1,10,850,1134,364,103,790,288,3,166,2,15,202,304,103,180,249,357,0,46,355,7,4,181,179,390,362,622,1,10,116,80,4,16,454,4,38,3,1054,1982,723,567,1003,60,621,179,30,64,3223,58,133,515,1,286,213,4,1026,7,50,478,0,584,4,49,995,943,126,29,97,14,19,2,3052,231
4,104,1880,277,335,2599,13,151,347,35,508,126,227,379,147,45,0,82,9,13,29,2,12,134,287,1048,359,2,100,2919,75,213,707,430,1,209,90,343,751,249,1447,986,2,204,30,28,24,19,2,1772,223,1635,2,292,284,2,37,1238,1,6,789,1099,343,94,756,278,6,186,0,15,204,323,134,170,211,363,1,57,333,8,4,217,194,395,367,651,5,8,147,86,6,14,463,8,38,9,1101,1960,749,649,971,76,674,210,13,67,3263,59,128,574,1,279,208,3,1008,11,31,529,0,637,5,51,987,868,155,24,95,17,4,3,2922,215
5,128,1837,278,360,2695,7,123,347,35,462,136,228,400,180,44,0,72,17,26,18,0,9,147,281,972,375,2,88,2784,87,196,675,437,5,203,105,328,732,267,1434,1045,4,215,27,23,15,24,1,1761,229,1661,5,312,272,0,36,1285,0,5,801,1152,327,104,817,274,1,195,0,16,199,342,119,161,252,374,3,60,393,9,3,195,207,341,355,588,2,10,134,82,6,14,486,10,38,5,1057,1978,746,631,1024,59,584,213,16,55,3290,61,121,547,0,266,202,0,1003,11,37,511,0,572,3,41,984,858,161,44,107,17,21,4,3027,234
6,95,1848,282,360,2614,5,142,317,49,509,141,214,367,157,32,1,79,14,16,8,2,12,134,303,1045,376,4,101,2815,75,215,743,448,2,204,97,363,750,274,1433,1011,3,219,33,17,18,23,1,1750,212,1645,4,317,270,0,44,1278,1,5,820,1122,361,98,795,275,2,179,0,11,188,302,120,156,218,332,0,80,403,8,5,191,187,373,373,571,3,11,153,82,9,12,473,5,41,6,1121,2034,723,603,977,47,640,213,14,63,3202,72,98,565,0,279,191,1,1060,16,35,520,0,624,4,48,992,921,126,27,93,18,10,7,2978,216
7,102,1770,271,387,2595,10,143,326,20,485,118,218,368,151,29,1,85,14,15,21,0,7,159,295,998,367,3,101,2789,72,187,697,469,2,213,83,343,802,261,1514,1054,2,222,38,18,29,20,2,1766,228,1628,8,322,301,1,43,1282,3,4,806,1118,351,98,828,274,7,193,2,17,176,336,110,165,247,323,2,63,348,8,13,194,181,363,358,631,2,10,136,54,1,14,441,9,36,1,1024,2040,771,640,971,65,616,228,18,72,3311,74,102,576,1,257,195,3,1027,12,41,559,0,585,5,44,971,860,137,28,82,13,12,2,3036,244
8,103,1822,264,357,2667,8,130,342,38,502,111,215,387,147,50,1,78,13,15,19,1,7,130,301,1058,365,7,106,2659,72,181,632,452,0,186,81,353,752,264,1481,1073,3,208,39,20,23,27,3,1737,232,1644,6,323,281,2,28,1249,3,6,865,1110,345,104,803,259,3,207,1,6,165,317,115,195,213,348,0,49,383,10,1,211,183,389,370,600,2,8,146,81,8,15,470,6,44,1,1086,2110,691,628,966,70,614,218,26,82,3167,76,120,563,1,288,187,3,1021,6,47,533,0,638,0,40,1048,908,138,34,86,21,8,4,3050,225
9,122,1942,280,351,2703,10,127,322,47,576,124,193,376,185,32,1,73,14,19,8,2,8,148,271,1066,375,3,115,2738,80,218,662,439,0,211,80,337,743,265,1430,1019,2,226,29,19,23,19,1,1782,218,1662,4,318,244,4,37,1235,0,8,883,1052,381,82,790,246,1,201,0,9,208,349,127,154,252,408,0,56,377,7,9,217,228,340,367,642,2,9,112,90,4,7,478,4,36,6,1051,2069,750,606,923,54,581,215,14,61,3164,62,133,542,3,300,216,1,992,9,42,504,0,592,1,44,975,884,142,30,112,13,10,7,2988,230
