cell_type,count,percentage,k562_relevance,weighted_count,k562_weighted,k562_weighted_sqrt,k562_hybrid,proportional_sample,sqrt_sample
plasma cell,59134,6.4578694294678645,0.5,29567.0,1630,793,1429,6528,2997
unknown,55325,6.0418985048417095,0.2,11065.0,585,281,542,6041,2836
classical monocyte,51140,5.584865603933213,3.0,153420.0,8119,4064,7022,5584,2726
"CD16-positive, CD56-dim natural killer cell, human",48035,5.245776677452716,1.5,72052.5,3813,1969,3304,5245,2642
"naive thymus-derived CD4-positive, alpha-beta T cell",37007,4.04143764968237,1.5,55510.5,2937,1728,2568,4041,2319
CD14-positive monocyte,34424,3.7593549775087394,3.0,103272.0,5465,3334,4792,3759,2237
erythrocyte,32088,3.504246529116327,0.2,6417.6,339,214,335,3504,2160
erythroid progenitor cell,29549,3.2269689818267997,5.0,147745.0,7819,5148,7070,3226,2072
"effector memory CD8-positive, alpha-beta T cell",26912,2.9389891109317685,1.5,40368.0,2136,1474,1895,2938,1978
granulocyte monocyte progenitor cell,23271,2.54136502677219,5.0,116355.0,6158,4569,5674,2541,1839
hematopoietic multipotent progenitor cell,20215,2.207627262094445,5.0,101075.0,5349,4258,4994,2207,1714
naive B cell,19411,2.1198245255758232,1.5,29116.5,1541,1251,1394,2119,1680
"central memory CD4-positive, alpha-beta T cell",19025,2.0776704754561863,1.5,28537.5,1510,1239,1369,2077,1663
"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",18670,2.038901854232168,1.5,28005.0,1482,1227,1345,2038,1647
precursor B cell,18318,2.000460855159339,1.5,27477.0,1454,1216,1321,2000,1632
neutrophil,18126,1.9794930374832505,3.0,54378.0,2878,2419,2618,1979,1623
progenitor cell,17967,1.9621290634702395,5.0,89835.0,4754,4014,4495,1962,1616
promonocyte,16531,1.8053072604344924,3.0,49593.0,2624,2310,2405,1805,1550
hematopoietic cell,15347,1.676005718098612,1.5,23020.5,1218,1113,1123,1676,1493
hematopoietic stem cell,14640,1.5987960978017646,5.0,73200.0,3874,3624,3755,1598,1459
"effector memory CD4-positive, alpha-beta T cell",13982,1.5269376393076688,1.5,20973.0,1110,1062,1032,1526,1425
"naive thymus-derived CD8-positive, alpha-beta T cell",13361,1.4591198540115695,1.5,20041.5,1060,1038,991,1459,1393
common myeloid progenitor,12933,1.4123790937752885,5.0,64665.0,3422,3406,3375,1412,1371
mesenchymal cell,11468,1.252390276611382,0.5,5734.0,303,320,304,1252,1291
natural killer cell,11262,1.2298935555630786,1.5,16893.0,894,953,851,1229,1279
non-classical monocyte,11120,1.2143861070734714,3.0,33360.0,1765,1895,1683,1214,1271
pro-B cell,11076,1.2095809821893675,1.5,16614.0,879,945,838,1209,1269
"plasmacytoid dendritic cell, human",10124,1.1056155528787612,3.0,30372.0,1607,1808,1550,1105,1213
primitive red blood cell,9596,1.0479540542695172,0.5,4798.0,253,293,263,1047,1181
"CD4-positive, alpha-beta memory T cell",9080,0.9916030442650288,1.5,13620.0,720,856,705,991,1149
myelocyte,8715,0.9517423492037144,0.5,4357.5,230,279,243,951,1125
conventional dendritic cell,8249,0.9008517083857072,3.0,24747.0,1309,1632,1300,900,1095
"CD8-positive, alpha-beta memory T cell",6975,0.7617215015141603,1.5,10462.5,553,750,565,761,1007
"central memory CD8-positive, alpha-beta T cell",6828,0.7456680161059049,1.5,10242.0,542,742,555,745,996
memory B cell,6805,0.7431562462801234,1.5,10207.5,540,741,553,743,994
mature B cell,6761,0.7383511213960198,1.5,10141.5,536,738,550,738,991
megakaryocyte-erythroid progenitor cell,6742,0.7362761811051568,5.0,33710.0,1784,2459,1999,736,990
hematopoietic oligopotent progenitor cell,6718,0.7336552038956458,5.0,33590.0,1777,2455,1993,733,988
"CD16-negative, CD56-bright natural killer cell, human",6626,0.72360812459252,1.5,9939.0,526,731,541,723,981
early promyelocyte,6522,0.7122505566846385,0.5,3261.0,172,241,195,712,973
macrophage,6509,0.7108308606961534,3.0,19527.0,1033,1449,1068,710,972
"CD4-positive, alpha-beta T cell",6055,0.661250708482902,1.5,9082.5,480,699,503,661,938
late pro-B cell,6027,0.6581929017384723,1.5,9040.5,478,697,502,658,936
fraction A pre-pro B cell,5715,0.6241201980148282,1.5,8572.5,453,679,481,624,911
basophilic erythroblast,5253,0.5736663867317398,3.0,15759.0,834,1302,900,573,873
gamma-delta T cell,5108,0.5578313160909436,1.5,7662.0,405,642,440,557,861
polychromatophilic erythroblast,5061,0.5526985690556511,3.0,15183.0,803,1278,875,552,857
"CD14-positive, CD16-positive monocyte",4996,0.5456000891132251,3.0,14988.0,793,1270,866,545,852
immature B cell,4933,0.5387200239382585,1.5,7399.5,391,631,429,538,846
"effector memory CD4-positive, alpha-beta T cell, terminally differentiated",4854,0.5300926406236178,1.5,7281.0,385,626,423,530,840
lymphoid lineage restricted progenitor cell,4269,0.466206321141785,0.5,2134.5,112,195,144,466,787
erythroid lineage cell,4110,0.4488423471287741,0.5,2055.0,108,192,141,448,773
unswitched memory B cell,4093,0.4469858216053703,1.5,6139.5,324,574,373,446,771
"CD8-positive, alpha-beta T cell",3920,0.4280929442201446,1.5,5880.0,311,562,361,428,754
endothelial cell,3882,0.4239430636384187,0.5,1941.0,102,186,136,423,751
orthochromatic erythroblast,3734,0.4077803708464336,3.0,11202.0,592,1098,698,407,736
pre-conventional dendritic cell,3704,0.4045041493345448,3.0,11112.0,588,1093,694,404,733
megakaryocyte,3650,0.3986069506131448,3.0,10950.0,579,1085,686,398,728
dendritic cell,3627,0.3960951807873634,3.0,10881.0,575,1082,683,396,726
common lymphoid progenitor,3532,0.3857204793330486,0.5,1766.0,93,178,128,385,716
large pre-B-II cell,3488,0.380915354448945,0.5,1744.0,92,176,127,380,712
immature innate lymphoid cell,3473,0.3792772436930006,1.5,5209.5,275,529,331,379,710
megakaryocyte progenitor cell,3426,0.374144496657708,3.0,10278.0,543,1051,657,374,705
lymphocyte,3084,0.336795571422175,1.5,4626.0,244,499,305,336,669
