chunk_id,local_index,cell_type
0,6,erythroid progenitor cell
0,9,megakaryocyte progenitor cell
0,14,erythroid progenitor cell
0,16,erythroid progenitor cell
0,18,classical monocyte
0,66,classical monocyte
0,67,non-classical monocyte
0,73,classical monocyte
0,85,classical monocyte
0,99,classical monocyte
0,100,classical monocyte
0,111,classical monocyte
0,113,classical monocyte
0,118,classical monocyte
0,124,classical monocyte
0,130,non-classical monocyte
0,134,erythroid progenitor cell
0,139,non-classical monocyte
0,155,classical monocyte
0,162,non-classical monocyte
0,164,classical monocyte
0,173,classical monocyte
0,175,classical monocyte
0,192,classical monocyte
0,203,non-classical monocyte
0,208,non-classical monocyte
0,210,non-classical monocyte
0,211,hematopoietic multipotent progenitor cell
0,222,non-classical monocyte
0,230,non-classical monocyte
0,233,hematopoietic multipotent progenitor cell
0,239,non-classical monocyte
0,254,"CD16-positive, CD56-dim natural killer cell, human"
0,258,hematopoietic multipotent progenitor cell
0,278,naive B cell
0,293,unswitched memory B cell
0,309,naive B cell
0,313,"CD4-positive, alpha-beta memory T cell"
0,325,"effector memory CD8-positive, alpha-beta T cell"
0,331,"CD4-positive, alpha-beta memory T cell"
0,394,"CD16-positive, CD56-dim natural killer cell, human"
0,395,unswitched memory B cell
0,430,"CD16-positive, CD56-dim natural killer cell, human"
0,454,classical monocyte
0,460,lymphoid lineage restricted progenitor cell
0,497,classical monocyte
0,503,early promyelocyte
0,514,early promyelocyte
0,547,conventional dendritic cell
0,554,conventional dendritic cell
0,565,conventional dendritic cell
0,567,classical monocyte
0,571,conventional dendritic cell
0,585,conventional dendritic cell
0,587,conventional dendritic cell
0,590,non-classical monocyte
0,603,conventional dendritic cell
0,604,hematopoietic multipotent progenitor cell
0,610,non-classical monocyte
0,616,conventional dendritic cell
0,634,unswitched memory B cell
0,639,early promyelocyte
0,647,conventional dendritic cell
0,651,myelocyte
0,655,hematopoietic multipotent progenitor cell
0,671,conventional dendritic cell
0,693,early promyelocyte
0,698,erythroid progenitor cell
0,746,pre-natural killer cell
0,747,hematopoietic multipotent progenitor cell
